TIME_BIN TIME_MIN TIME TIME_MAX COUNTS STAT_ERR AREA EXPOSURE COUNT_RATE COUNT_RATE_ERR
1 113018227.01184 113018228.63236001 113018230.25288 0 0.0 86.59014751456868 0.0 0.0 0.0
2 113018230.25288 113018231.8734 113018233.49392001 0 0.0 86.59014751456868 0.0 0.0 0.0
3 113018233.49392 113018235.11444 113018236.73496 0 0.0 86.59014751456868 0.0 0.0 0.0
4 113018236.73496 113018238.35548002 113018239.97600001 0 0.0 86.59014751456868 0.0 0.0 0.0
5 113018239.976 113018241.59652 113018243.21704 0 0.0 86.59014751456868 0.0 0.0 0.0
6 113018243.21704 113018244.83756 113018246.45808001 0 0.0 86.59014751456868 0.0 0.0 0.0
7 113018246.45808 113018248.07859999 113018249.69912 0 0.0 86.59014751456868 0.0 0.0 0.0
8 113018249.69912 113018251.31964001 113018252.94016 0 0.0 86.59014751456868 0.0 0.0 0.0
9 113018252.94016 113018254.56068 113018256.18120001 0 0.0 86.59014751456868 0.0 0.0 0.0
10 113018256.1812 113018257.80172 113018259.42224 0 0.0 86.59014751456868 0.0 0.0 0.0
11 113018259.42224 113018261.04276001 113018262.66328001 0 0.0 86.59014751456868 0.0 0.0 0.0
12 113018262.66328 113018264.2838 113018265.90432 0 0.0 86.59014751456868 0.0 0.0 0.0
13 113018265.90432 113018267.52484 113018269.14536001 0 0.0 86.59014751456868 0.0 0.0 0.0
14 113018269.14536001 113018270.76588002 113018272.38640001 0 0.0 86.59014751456868 0.0 0.0 0.0
15 113018272.3864 113018274.00692001 113018275.62744 0 0.0 86.59014751456868 0.0 0.0 0.0
16 113018275.62744 113018277.24796 113018278.86848001 0 0.0 86.59014751456868 0.0 0.0 0.0
17 113018278.86848 113018280.489 113018282.10952 0 0.0 86.59014751456868 0.0 0.0 0.0
18 113018282.10952 113018283.73004001 113018285.35056001 0 0.0 86.59014751456868 0.0 0.0 0.0
19 113018285.35056 113018286.97108 113018288.5916 0 0.0 86.59014751456868 0.0 0.0 0.0
