TIME_BIN TIME_MIN TIME TIME_MAX COUNTS STAT_ERR AREA EXPOSURE COUNT_RATE COUNT_RATE_ERR
1 516656051.65292 516656053.27344 516656054.89396 0 0.0 122.7184630308513 0.0 0.0 0.0
2 516656054.89396 516656056.51448 516656058.135 0 0.0 122.7184630308513 0.0 0.0 0.0
3 516656058.135 516656059.75552 516656061.37604 0 0.0 122.7184630308513 0.0 0.0 0.0
4 516656061.37604 516656062.99656 516656064.61708 0 0.0 122.7184630308513 0.0 0.0 0.0
5 516656064.61708003 516656066.2376 516656067.85812 0 0.0 122.7184630308513 0.0 0.0 0.0
6 516656067.85812 516656069.47864 516656071.09916 0 0.0 122.7184630308513 0.0 0.0 0.0
7 516656071.09916 516656072.71968 516656074.3402 0 0.0 122.7184630308513 0.0 0.0 0.0
8 516656074.3402 516656075.96072 516656077.58124 0 0.0 122.7184630308513 0.0 0.0 0.0
9 516656077.58124 516656079.20176 516656080.82228 0 0.0 122.7184630308513 0.0 0.0 0.0
10 516656080.82228 516656082.4428 516656084.06332 0 0.0 122.7184630308513 0.0 0.0 0.0
11 516656084.06332 516656085.68384 516656087.30436 0 0.0 122.7184630308513 0.0 0.0 0.0
12 516656087.30436003 516656088.92488 516656090.5454 0 0.0 122.7184630308513 0.0 0.0 0.0
13 516656090.5454 516656092.16592 516656093.78644 0 0.0 122.7184630308513 0.0 0.0 0.0
14 516656093.78644 516656095.40696 516656097.02748 0 0.0 122.7184630308513 0.0 0.0 0.0
15 516656097.02748 516656098.648 516656100.26852 0 0.0 122.7184630308513 0.0 0.0 0.0
16 516656100.26852 516656101.88904 516656103.50956 0 0.0 122.7184630308513 0.0 0.0 0.0
17 516656103.50956 516656105.13008 516656106.7506 0 0.0 122.7184630308513 0.0 0.0 0.0
18 516656106.7506 516656108.37112 516656109.99164 0 0.0 122.7184630308513 0.0 0.0 0.0
19 516656109.99164003 516656111.61216 516656113.23268 0 0.0 122.7184630308513 0.0 0.0 0.0
20 516656113.23268 516656114.8532 516656116.47372 0 0.0 122.7184630308513 0.0 0.0 0.0
21 516656116.47372 516656118.09424 516656119.71476 0 0.0 122.7184630308513 0.0 0.0 0.0
22 516656119.71476 516656121.33528 516656122.9558 0 0.0 122.7184630308513 0.0 0.0 0.0
23 516656122.9558 516656124.57632 516656126.19684 0 0.0 122.7184630308513 0.0 0.0 0.0
24 516656126.19684 516656127.81736 516656129.43788 0 0.0 122.7184630308513 0.0 0.0 0.0
25 516656129.43788 516656131.0584 516656132.67892 0 0.0 122.7184630308513 0.0 0.0 0.0
26 516656132.67892003 516656134.29944 516656135.91996 0 0.0 122.7184630308513 0.0 0.0 0.0
27 516656135.91996 516656137.54048 516656139.161 0 0.0 122.7184630308513 0.0 0.0 0.0
28 516656139.161 516656140.78152 516656142.40204 0 0.0 122.7184630308513 0.0 0.0 0.0
29 516656142.40204 516656144.02256 516656145.64308 0 0.0 122.7184630308513 0.0 0.0 0.0
30 516656145.64308 516656147.2636 516656148.88412 0 0.0 122.7184630308513 0.0 0.0 0.0
31 516656148.88412 516656150.50464 516656152.12516 0 0.0 122.7184630308513 0.0 0.0 0.0
32 516656152.12516 516656153.74568 516656155.3662 0 0.0 122.7184630308513 0.0 0.0 0.0
33 516656155.36620003 516656156.98672 516656158.60724 0 0.0 122.7184630308513 0.0 0.0 0.0
34 516656158.60724 516656160.22776 516656161.84828 0 0.0 122.7184630308513 0.0 0.0 0.0
35 516656161.84828 516656163.4688 516656165.08932 0 0.0 122.7184630308513 0.0 0.0 0.0
36 516656165.08932 516656166.70984 516656168.33036 0 0.0 122.7184630308513 0.0 0.0 0.0
37 516656168.33036 516656169.95088 516656171.5714 0 0.0 122.7184630308513 0.0 0.0 0.0
38 516656171.5714 516656173.19192 516656174.81244 0 0.0 122.7184630308513 0.0 0.0 0.0
39 516656174.81244 516656176.43296 516656178.05347997 0 0.0 122.7184630308513 0.0 0.0 0.0
40 516656178.05348 516656179.674 516656181.29452 0 0.0 122.7184630308513 0.0 0.0 0.0
41 516656181.29452 516656182.91504 516656184.53556 0 0.0 122.7184630308513 0.0 0.0 0.0
42 516656184.53556 516656186.15608 516656187.7766 0 0.0 122.7184630308513 0.0 0.0 0.0
43 516656187.7766 516656189.39712 516656191.01764 0 0.0 122.7184630308513 0.0 0.0 0.0
44 516656191.01764 516656192.63816 516656194.25868 0 0.0 122.7184630308513 0.0 0.0 0.0
45 516656194.25868 516656195.8792 516656197.49972 0 0.0 122.7184630308513 0.0 0.0 0.0
46 516656197.49972004 516656199.12024003 516656200.74076 0 0.0 122.7184630308513 0.0 0.0 0.0
47 516656200.74076 516656202.36128 516656203.9818 0 0.0 122.7184630308513 0.0 0.0 0.0
48 516656203.9818 516656205.60232 516656207.22284 0 0.0 122.7184630308513 0.0 0.0 0.0
49 516656207.22284 516656208.84336 516656210.46388 0 0.0 122.7184630308513 0.0 0.0 0.0
50 516656210.46388 516656212.0844 516656213.70492 0 0.0 122.7184630308513 0.0 0.0 0.0
51 516656213.70492 516656215.32544 516656216.94596 0 0.0 122.7184630308513 0.0 0.0 0.0
52 516656216.94596 516656218.56648 516656220.187 0 0.0 122.7184630308513 0.0 0.0 0.0
53 516656220.18700004 516656221.80752003 516656223.42804 0 0.0 122.7184630308513 0.0 0.0 0.0
54 516656223.42804 516656225.04856 516656226.66908 0 0.0 122.7184630308513 0.0 0.0 0.0
55 516656226.66908 516656228.2896 516656229.91012 0 0.0 122.7184630308513 0.0 0.0 0.0
56 516656229.91012 516656231.53064 516656233.15116 0 0.0 122.7184630308513 0.0 0.0 0.0
57 516656233.15116 516656234.77168 516656236.3922 0 0.0 122.7184630308513 0.0 0.0 0.0
58 516656236.3922 516656238.01272 516656239.63324 0 0.0 122.7184630308513 0.0 0.0 0.0
59 516656239.63324 516656241.25376 516656242.87428 0 0.0 122.7184630308513 0.0 0.0 0.0
60 516656242.87428004 516656244.49480003 516656246.11532 0 0.0 122.7184630308513 0.0 0.0 0.0
61 516656246.11532 516656247.73584 516656249.35636 0 0.0 122.7184630308513 0.0 0.0 0.0
62 516656249.35636 516656250.97688 516656252.5974 0 0.0 122.7184630308513 0.0 0.0 0.0
63 516656252.5974 516656254.21792 516656255.83844 0 0.0 122.7184630308513 0.0 0.0 0.0
64 516656255.83844 516656257.45896 516656259.07948 0 0.0 122.7184630308513 0.0 0.0 0.0
65 516656259.07948 516656260.7 516656262.32052 0 0.0 122.7184630308513 0.0 0.0 0.0
66 516656262.32052 516656263.94104 516656265.56156 0 0.0 122.7184630308513 0.0 0.0 0.0
67 516656265.56156003 516656267.18208003 516656268.8026 0 0.0 122.7184630308513 0.0 0.0 0.0
68 516656268.8026 516656270.42312 516656272.04364 0 0.0 122.7184630308513 0.0 0.0 0.0
69 516656272.04364 516656273.66416 516656275.28468 0 0.0 122.7184630308513 0.0 0.0 0.0
70 516656275.28468 516656276.9052 516656278.52572 0 0.0 122.7184630308513 0.0 0.0 0.0
71 516656278.52572 516656280.14624 516656281.76676 0 0.0 122.7184630308513 0.0 0.0 0.0
72 516656281.76676 516656283.38728 516656285.0078 0 0.0 122.7184630308513 0.0 0.0 0.0
73 516656285.0078 516656286.62832 516656288.24884 0 0.0 122.7184630308513 0.0 0.0 0.0
74 516656288.24884003 516656289.86936 516656291.48988 0 0.0 122.7184630308513 0.0 0.0 0.0
75 516656291.48988 516656293.1104 516656294.73092 0 0.0 122.7184630308513 0.0 0.0 0.0
76 516656294.73092 516656296.35144 516656297.97196 0 0.0 122.7184630308513 0.0 0.0 0.0
77 516656297.97196 516656299.59248 516656301.213 0 0.0 122.7184630308513 0.0 0.0 0.0
78 516656301.213 516656302.83352 516656304.45404 0 0.0 122.7184630308513 0.0 0.0 0.0
79 516656304.45404 516656306.07456 516656307.69508 0 0.0 122.7184630308513 0.0 0.0 0.0
80 516656307.69508 516656309.3156 516656310.93612 0 0.0 122.7184630308513 0.0 0.0 0.0
81 516656310.93612003 516656312.55664 516656314.17716 0 0.0 122.7184630308513 0.0 0.0 0.0
82 516656314.17716 516656315.79768 516656317.4182 0 0.0 122.7184630308513 0.0 0.0 0.0
83 516656317.4182 516656319.03872 516656320.65924 0 0.0 122.7184630308513 0.0 0.0 0.0
84 516656320.65924 516656322.27976 516656323.90028 0 0.0 122.7184630308513 0.0 0.0 0.0
85 516656323.90028 516656325.5208 516656327.14132 0 0.0 122.7184630308513 0.0 0.0 0.0
86 516656327.14132 516656328.76184 516656330.38236 0 0.0 122.7184630308513 0.0 0.0 0.0
87 516656330.38236 516656332.00288 516656333.6234 0 0.0 122.7184630308513 0.0 0.0 0.0
88 516656333.62340003 516656335.24392 516656336.86444 0 0.0 122.7184630308513 0.0 0.0 0.0
89 516656336.86444 516656338.48496 516656340.10548 0 0.0 122.7184630308513 0.0 0.0 0.0
90 516656340.10548 516656341.726 516656343.34652 0 0.0 122.7184630308513 0.0 0.0 0.0
91 516656343.34652 516656344.96704 516656346.58756 0 0.0 122.7184630308513 0.0 0.0 0.0
92 516656346.58756 516656348.20808 516656349.8286 0 0.0 122.7184630308513 0.0 0.0 0.0
93 516656349.8286 516656351.44912 516656353.06964 0 0.0 122.7184630308513 0.0 0.0 0.0
94 516656353.06964 516656354.69016 516656356.31068 0 0.0 122.7184630308513 0.0 0.0 0.0
95 516656356.31068003 516656357.9312 516656359.55172 0 0.0 122.7184630308513 0.0 0.0 0.0
96 516656359.55172 516656361.17224 516656362.79276 0 0.0 122.7184630308513 0.0 0.0 0.0
97 516656362.79276 516656364.41328 516656366.0338 0 0.0 122.7184630308513 0.0 0.0 0.0
98 516656366.0338 516656367.65432 516656369.27484 0 0.0 122.7184630308513 0.0 0.0 0.0
99 516656369.27484 516656370.89536 516656372.51588 0 0.0 122.7184630308513 0.0 0.0 0.0
