TIME_BIN TIME_MIN TIME TIME_MAX COUNTS STAT_ERR AREA EXPOSURE COUNT_RATE COUNT_RATE_ERR
1 445323729.1466 445323730.76712 445323732.38764 0 0.0 2227.045579698677 0.0 0.0 0.0
2 445323732.38764 445323734.00816 445323735.62868 0 0.0 2227.045579698677 0.0 0.0 0.0
3 445323735.62868 445323737.2492 445323738.86972 0 0.0 2227.045579698677 0.0 0.0 0.0
4 445323738.86972 445323740.49024 445323742.11076 0 0.0 2227.045579698677 0.0 0.0 0.0
5 445323742.11076003 445323743.73128 445323745.3518 0 0.0 2227.045579698677 0.0 0.0 0.0
6 445323745.3518 445323746.97232 445323748.59284 0 0.0 2227.045579698677 0.0 0.0 0.0
7 445323748.59284 445323750.21336 445323751.83388 0 0.0 2227.045579698677 0.0 0.0 0.0
8 445323751.83388 445323753.4544 445323755.07492 0 0.0 2227.045579698677 0.0 0.0 0.0
9 445323755.07492 445323756.69544 445323758.31596 0 0.0 2227.045579698677 0.0 0.0 0.0
10 445323758.31596 445323759.93648 445323761.557 0 0.0 2227.045579698677 0.0 0.0 0.0
11 445323761.557 445323763.17752 445323764.79804 0 0.0 2227.045579698677 0.0 0.0 0.0
12 445323764.79804003 445323766.41856 445323768.03908 0 0.0 2227.045579698677 0.0 0.0 0.0
13 445323768.03908 445323769.6596 445323771.28012 0 0.0 2227.045579698677 0.0 0.0 0.0
14 445323771.28012 445323772.90064 445323774.52116 0 0.0 2227.045579698677 0.0 0.0 0.0
15 445323774.52116 445323776.14168 445323777.7622 0 0.0 2227.045579698677 0.0 0.0 0.0
16 445323777.7622 445323779.38272 445323781.00324 0 0.0 2227.045579698677 0.0 0.0 0.0
17 445323781.00324 445323782.62376 445323784.24428 0 0.0 2227.045579698677 0.0 0.0 0.0
18 445323784.24428 445323785.8648 445323787.48532 0 0.0 2227.045579698677 0.0 0.0 0.0
19 445323787.48532003 445323789.10584 445323790.72636 0 0.0 2227.045579698677 0.0 0.0 0.0
20 445323790.72636 445323792.34688 445323793.9674 0 0.0 2227.045579698677 0.0 0.0 0.0
21 445323793.9674 445323795.58792 445323797.20844 0 0.0 2227.045579698677 0.0 0.0 0.0
22 445323797.20844 445323798.82896 445323800.44948 0 0.0 2227.045579698677 0.0 0.0 0.0
23 445323800.44948 445323802.07 445323803.69052 0 0.0 2227.045579698677 0.0 0.0 0.0
24 445323803.69052 445323805.31104 445323806.93156 0 0.0 2227.045579698677 0.0 0.0 0.0
25 445323806.93156 445323808.55208 445323810.1726 0 0.0 2227.045579698677 0.0 0.0 0.0
26 445323810.17260003 445323811.79312 445323813.41364 0 0.0 2227.045579698677 0.0 0.0 0.0
27 445323813.41364 445323815.03416 445323816.65468 0 0.0 2227.045579698677 0.0 0.0 0.0
28 445323816.65468 445323818.2752 445323819.89572 0 0.0 2227.045579698677 0.0 0.0 0.0
29 445323819.89572 445323821.51624 445323823.13676 0 0.0 2227.045579698677 0.0 0.0 0.0
30 445323823.13676 445323824.75728 445323826.3778 0 0.0 2227.045579698677 0.0 0.0 0.0
31 445323826.3778 445323827.99832 445323829.61884 0 0.0 2227.045579698677 0.0 0.0 0.0
32 445323829.61884 445323831.23936 445323832.85988 0 0.0 2227.045579698677 0.0 0.0 0.0
33 445323832.85988003 445323834.4804 445323836.10092 0 0.0 2227.045579698677 0.0 0.0 0.0
34 445323836.10092 445323837.72144 445323839.34196 0 0.0 2227.045579698677 0.0 0.0 0.0
35 445323839.34196 445323840.96248 445323842.583 0 0.0 2227.045579698677 0.0 0.0 0.0
36 445323842.583 445323844.20352 445323845.82404 0 0.0 2227.045579698677 0.0 0.0 0.0
37 445323845.82404 445323847.44456 445323849.06508 0 0.0 2227.045579698677 0.0 0.0 0.0
38 445323849.06508 445323850.6856 445323852.30612 0 0.0 2227.045579698677 0.0 0.0 0.0
39 445323852.30612 445323853.92664 445323855.54715997 0 0.0 2227.045579698677 0.0 0.0 0.0
40 445323855.54716 445323857.16768 445323858.7882 0 0.0 2227.045579698677 0.0 0.0 0.0
41 445323858.7882 445323860.40872 445323862.02924 0 0.0 2227.045579698677 0.0 0.0 0.0
42 445323862.02924 445323863.64976 445323865.27028 0 0.0 2227.045579698677 0.0 0.0 0.0
43 445323865.27028 445323866.8908 445323868.51132 0 0.0 2227.045579698677 0.0 0.0 0.0
44 445323868.51132 445323870.13184 445323871.75236 0 0.0 2227.045579698677 0.0 0.0 0.0
45 445323871.75236 445323873.37288 445323874.9934 0 0.0 2227.045579698677 0.0 0.0 0.0
46 445323874.99340004 445323876.61392003 445323878.23444 0 0.0 2227.045579698677 0.0 0.0 0.0
47 445323878.23444 445323879.85496 445323881.47548 0 0.0 2227.045579698677 0.0 0.0 0.0
48 445323881.47548 445323883.096 445323884.71652 0 0.0 2227.045579698677 0.0 0.0 0.0
49 445323884.71652 445323886.33704 445323887.95756 0 0.0 2227.045579698677 0.0 0.0 0.0
50 445323887.95756 445323889.57808 445323891.1986 0 0.0 2227.045579698677 0.0 0.0 0.0
51 445323891.1986 445323892.81912 445323894.43964 0 0.0 2227.045579698677 0.0 0.0 0.0
52 445323894.43964 445323896.06016 445323897.68068 0 0.0 2227.045579698677 0.0 0.0 0.0
53 445323897.68068004 445323899.30120003 445323900.92172 0 0.0 2227.045579698677 0.0 0.0 0.0
54 445323900.92172 445323902.54224 445323904.16276 0 0.0 2227.045579698677 0.0 0.0 0.0
55 445323904.16276 445323905.78328 445323907.4038 0 0.0 2227.045579698677 0.0 0.0 0.0
56 445323907.4038 445323909.02432 445323910.64484 0 0.0 2227.045579698677 0.0 0.0 0.0
57 445323910.64484 445323912.26536 445323913.88588 0 0.0 2227.045579698677 0.0 0.0 0.0
58 445323913.88588 445323915.5064 445323917.12692 0 0.0 2227.045579698677 0.0 0.0 0.0
59 445323917.12692 445323918.74744 445323920.36796 0 0.0 2227.045579698677 0.0 0.0 0.0
60 445323920.36796004 445323921.98848003 445323923.609 0 0.0 2227.045579698677 0.0 0.0 0.0
61 445323923.609 445323925.22952 445323926.85004 0 0.0 2227.045579698677 0.0 0.0 0.0
62 445323926.85004 445323928.47056 445323930.09108 0 0.0 2227.045579698677 0.0 0.0 0.0
63 445323930.09108 445323931.7116 445323933.33212 0 0.0 2227.045579698677 0.0 0.0 0.0
64 445323933.33212 445323934.95264 445323936.57316 0 0.0 2227.045579698677 0.0 0.0 0.0
65 445323936.57316 445323938.19368 445323939.8142 0 0.0 2227.045579698677 0.0 0.0 0.0
66 445323939.8142 445323941.43472 445323943.05524 0 0.0 2227.045579698677 0.0 0.0 0.0
67 445323943.05524004 445323944.67576003 445323946.29628 0 0.0 2227.045579698677 0.0 0.0 0.0
68 445323946.29628 445323947.9168 445323949.53732 0 0.0 2227.045579698677 0.0 0.0 0.0
69 445323949.53732 445323951.15784 445323952.77836 0 0.0 2227.045579698677 0.0 0.0 0.0
70 445323952.77836 445323954.39888 445323956.0194 0 0.0 2227.045579698677 0.0 0.0 0.0
71 445323956.0194 445323957.63992 445323959.26044 0 0.0 2227.045579698677 0.0 0.0 0.0
72 445323959.26044 445323960.88096 445323962.50148 0 0.0 2227.045579698677 0.0 0.0 0.0
73 445323962.50148 445323964.122 445323965.74252 0 0.0 2227.045579698677 0.0 0.0 0.0
74 445323965.74252003 445323967.36304003 445323968.98356 0 0.0 2227.045579698677 0.0 0.0 0.0
75 445323968.98356 445323970.60408 445323972.2246 0 0.0 2227.045579698677 0.0 0.0 0.0
76 445323972.2246 445323973.84512 445323975.46564 0 0.0 2227.045579698677 0.0 0.0 0.0
77 445323975.46564 445323977.08616 445323978.70668 0 0.0 2227.045579698677 0.0 0.0 0.0
78 445323978.70668 445323980.3272 445323981.94772 0 0.0 2227.045579698677 0.0 0.0 0.0
79 445323981.94772 445323983.56824 445323985.18876 0 0.0 2227.045579698677 0.0 0.0 0.0
80 445323985.18876 445323986.80928 445323988.4298 0 0.0 2227.045579698677 0.0 0.0 0.0
81 445323988.42980003 445323990.05032 445323991.67084 0 0.0 2227.045579698677 0.0 0.0 0.0
82 445323991.67084 445323993.29136 445323994.91188 0 0.0 2227.045579698677 0.0 0.0 0.0
83 445323994.91188 445323996.5324 445323998.15292 0 0.0 2227.045579698677 0.0 0.0 0.0
84 445323998.15292 445323999.77344 445324001.39396 0 0.0 2227.045579698677 0.0 0.0 0.0
85 445324001.39396 445324003.01448 445324004.635 0 0.0 2227.045579698677 0.0 0.0 0.0
86 445324004.635 445324006.25552 445324007.87604 0 0.0 2227.045579698677 0.0 0.0 0.0
87 445324007.87604 445324009.49656 445324011.11708 0 0.0 2227.045579698677 0.0 0.0 0.0
88 445324011.11708003 445324012.7376 445324014.35812 0 0.0 2227.045579698677 0.0 0.0 0.0
